Sample in Buffer,Sample in Window,TRIGGER,probe0_pc[31:0],probe1_status[3:0],probe2_membus_live[2:0],probe3_mem_addr[31:0],probe4_membus_counts[31:0],probe5_uart[3:0],probe6_flags[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
430,430,0,80000078,d,0,1001200c,00000000,4,4
431,431,0,80000078,c,0,1001200c,00000000,4,4
432,432,0,80000078,d,0,1001200c,00000000,4,4
433,433,0,80000078,d,0,1001200c,00000000,4,4
434,434,0,80000078,c,0,1001200c,00000000,4,4
435,435,0,80000078,c,0,1001200c,00000000,4,4
436,436,0,80000078,d,0,1001200c,00000000,4,4
437,437,0,80000078,c,0,1001200c,00000000,4,4
438,438,0,80000078,c,0,1001200c,00000000,4,4
439,439,0,80000078,d,0,1001200c,00000000,4,4
440,440,0,80000078,c,0,1001200c,00000000,4,4
441,441,0,80000078,c,0,1001200c,00000000,4,4
442,442,0,80000078,d,0,1001200c,00000000,4,4
443,443,0,80000078,c,0,1001200c,00000000,4,4
444,444,0,80000078,c,0,1001200c,00000000,4,4
445,445,0,80000078,d,0,1001200c,00000000,4,4
446,446,0,80000078,c,0,1001200c,00000000,4,4
447,447,0,80000078,c,0,1001200c,00000000,4,4
448,448,0,80000078,d,0,1001200c,00000000,4,4
449,449,0,80000078,d,0,1001200c,00000000,4,4
450,450,0,80000078,c,0,1001200c,00000000,4,4
451,451,0,80000078,d,0,1001200c,00000000,4,4
452,452,0,80000078,d,0,1001200c,00000000,4,4
453,453,0,80000078,c,0,1001200c,00000000,4,4
454,454,0,80000078,d,0,1001200c,00000000,4,4
455,455,0,80000078,d,0,1001200c,00000000,4,4
456,456,0,80000078,c,0,1001200c,00000000,4,4
457,457,0,80000078,d,0,1001200c,00000000,4,4
458,458,0,80000078,d,0,1001200c,00000000,4,4
459,459,0,80000078,c,0,1001200c,00000000,4,4
460,460,0,80000078,c,0,1001200c,00000000,4,4
461,461,0,80000078,d,0,1001200c,00000000,4,4
462,462,0,80000078,c,0,1001200c,00000000,4,4
463,463,0,80000078,c,0,1001200c,00000000,4,4
464,464,0,80000078,d,0,1001200c,00000000,4,4
465,465,0,80000078,c,0,1001200c,00000000,4,4
466,466,0,80000078,c,0,1001200c,00000000,4,4
467,467,0,80000078,d,0,1001200c,00000000,4,4
468,468,0,80000078,c,0,1001200c,00000000,4,4
469,469,0,80000078,c,0,1001200c,00000000,4,4
470,470,0,80000078,d,0,1001200c,00000000,4,4
471,471,0,80000078,c,0,1001200c,00000000,4,4
472,472,0,80000078,c,0,1001200c,00000000,4,4
473,473,0,80000078,d,0,1001200c,00000000,4,4
474,474,0,80000078,d,0,1001200c,00000000,4,4
475,475,0,80000078,c,0,1001200c,00000000,4,4
476,476,0,80000078,d,0,1001200c,00000000,4,4
477,477,0,80000078,d,0,1001200c,00000000,4,4
478,478,0,80000078,c,0,1001200c,00000000,4,4
479,479,0,80000078,d,0,1001200c,00000000,4,4
480,480,0,80000078,d,0,1001200c,00000000,4,4
481,481,0,80000078,c,0,1001200c,00000000,4,4
482,482,0,80000078,d,0,1001200c,00000000,4,4
483,483,0,80000078,d,0,1001200c,00000000,4,4
484,484,0,80000078,c,0,1001200c,00000000,4,4
485,485,0,80000078,c,0,1001200c,00000000,4,4
486,486,0,80000078,d,0,1001200c,00000000,4,4
487,487,0,80000078,c,0,1001200c,00000000,4,4
488,488,0,80000078,c,0,1001200c,00000000,4,4
489,489,0,80000078,d,0,1001200c,00000000,4,4
490,490,0,80000078,c,0,1001200c,00000000,4,4
491,491,0,80000078,c,0,1001200c,00000000,4,4
492,492,0,80000078,d,0,1001200c,00000000,4,4
493,493,0,80000078,c,0,1001200c,00000000,4,4
